label,X,Y,Z
nazrul,-1.9770219,9.617914,6.578884
shorotchandra,-5.0955987,13.682509,8.627223
toslima_nasrin,9.1125145,-3.4230056,4.780371
shordindu,-4.185696,9.6572,2.7336414
robindronath,-2.7236648,12.060633,7.914963
MZI,11.575251,4.4584913,9.52311
shomresh,5.6709533,-3.580578,-2.9330883
humayun_ahmed,9.171651,12.026936,1.3081893
toslima_nasrin,9.098715,-3.7389898,4.3256745
humayun_ahmed,11.47544,11.705254,1.2055688
bongkim,-2.0047455,14.620419,-1.4536092
shunil_gongopaddhay,2.5839474,-3.1865919,13.142268
shirshendu,-4.9250197,-0.99217796,8.124138
shunil_gongopaddhay,2.5216992,-3.004889,12.06688
shottojit_roy,-3.8201735,-1.0124055,-4.112432
humayun_ahmed,11.198839,11.8529215,0.81817
humayun_ahmed,11.736471,11.885253,1.1444684
humayun_ahmed,9.953592,11.945203,0.10475137
shorotchandra,-4.4645133,12.67779,8.475396
humayun_ahmed,11.302515,11.579191,1.0140437
humayun_ahmed,10.773897,11.5751295,1.0564883
nihar_ronjon_gupta,-0.74386203,-4.3285794,3.368697
robindronath,-2.3570564,12.420163,8.389202
humayun_ahmed,10.101664,12.480483,2.0847132
MZI,11.601287,4.360605,10.136749
shunil_gongopaddhay,2.6818345,-2.9295588,14.166566
shordindu,-4.2034574,9.665526,2.7747674
shomresh,6.202949,-2.7886865,-2.3922076
humayun_ahmed,9.549058,11.530438,0.70805264
toslima_nasrin,9.128664,-3.713815,4.249376
shottojit_roy,-3.9376485,-0.903002,-4.1375318
tarashonkor,-2.5890043,8.410598,5.28647
humayun_ahmed,11.48239,11.642538,1.1269566
nazrul,-1.9772872,9.681066,6.6470933
robindronath,-2.31171,12.640562,8.41809
humayun_ahmed,9.183462,12.071272,1.8004334
shomresh,5.699472,-3.0605798,-2.714416
humayun_ahmed,9.479283,11.187991,0.7705744
robindronath,-2.903766,12.065994,8.089606
MZI,11.515644,4.4852114,10.268156
bongkim,-2.2019246,14.842834,-1.6291232
toslima_nasrin,8.746023,0.30358687,6.073322
shomresh,6.838454,-2.9558802,-2.0840278
shorotchandra,-4.3033543,12.760444,8.569715
shomresh,6.2642546,-3.2578163,-2.424236
nihar_ronjon_gupta,-0.60998505,-4.181122,3.299751
shordindu,-4.214769,9.668327,2.7266092
humayun_ahmed,9.541532,12.029876,0.38029858
shorotchandra,-4.486514,13.157515,8.606593
humayun_ahmed,9.426641,11.427129,0.55526173
toslima_nasrin,9.032254,-4.049009,3.8157887
zahir_rayhan,2.2415,3.8489783,-1.5285351
tarashonkor,-2.691661,8.44591,5.126663
MZI,11.697885,4.4121075,9.602414
humayun_ahmed,9.927969,12.073852,0.3751036
humayun_ahmed,9.751698,11.36248,0.5159764
shunil_gongopaddhay,2.8895247,-3.9059079,12.504236
bongkim,-1.881877,14.470136,-1.3945183
shottojit_roy,-3.7197196,-0.9876019,-4.157849
shunil_gongopaddhay,2.6835787,-2.3471727,12.415864
MZI,11.424233,4.299784,10.193733
shomresh,6.284609,-3.300381,-2.0460856
toslima_nasrin,8.993987,-3.9043808,4.045177
shunil_gongopaddhay,2.6140158,-3.1995797,11.769439
robindronath,-2.0158367,13.186882,7.567176
humayun_ahmed,9.907224,11.750967,-0.17708912
shomresh,6.473992,-3.2821608,-2.0988226
humayun_ahmed,9.750687,11.483929,0.07291396
shunil_gongopaddhay,2.6994703,-2.7811368,12.743232
manik_bandhopaddhay,-0.67713284,4.255519,6.825882
shirshendu,-4.748917,-0.9950566,8.485539
shomresh,6.4217734,-2.8236718,-2.4699473
zahir_rayhan,2.2057765,3.8237484,-1.5336943
MZI,12.116597,4.291089,9.341252
shirshendu,-4.695108,-0.7850528,8.659304
humayun_ahmed,11.230054,11.463674,1.3224739
toslima_nasrin,9.261039,0.33660883,6.5890865
shordindu,-4.4572654,8.95838,1.8414893
robindronath,-2.0377345,10.275743,6.9676085
humayun_ahmed,10.000713,12.26632,1.6798311
shomresh,6.381274,-3.1331315,-1.8802265
shorotchandra,-4.8689666,12.840079,8.758281
humayun_ahmed,9.449741,11.358856,0.6927855
shorotchandra,-4.629211,12.992536,8.599697
humayun_ahmed,9.907867,11.148646,0.8356301
shottojit_roy,-3.955094,-1.067817,-4.045189
shomresh,6.350981,-2.74901,-2.1452086
humayun_ahmed,9.762414,11.341469,0.9217163
shirshendu,-4.56658,-0.8680804,8.187423
shomresh,5.909145,-2.462002,-2.3478365
shirshendu,-4.4888034,-1.027205,8.220362
MZI,11.782902,4.7704344,9.523913
shunil_gongopaddhay,2.7186847,-2.3721256,12.11608
MZI,11.985551,4.348199,9.355982
toslima_nasrin,8.7245035,0.2987473,6.049843
humayun_ahmed,9.930632,11.744162,0.6260219
shunil_gongopaddhay,2.6272526,-3.4183717,12.096379
shorotchandra,-4.563761,12.925213,8.65802
humayun_ahmed,9.418232,11.496115,0.796823
tarashonkor,-0.7094882,7.928519,4.527391
shordindu,-4.7805443,9.002129,1.4002526
shomresh,5.950192,-2.352885,-2.3138027
shunil_gongopaddhay,2.8234532,-3.2966607,11.612791
MZI,11.47037,4.4336853,9.974891
humayun_ahmed,9.529235,11.753027,0.24376789
shordindu,-4.606507,9.006511,1.7458434
humayun_ahmed,9.959553,12.373301,1.9949776
shottojit_roy,-3.8080025,-1.0173955,-4.159396
manik_bandhopaddhay,-0.3392222,3.8122048,6.730794
humayun_ahmed,9.942725,11.640418,-0.17720523
zahir_rayhan,2.7201116,4.1451883,-1.7403506
toslima_nasrin,9.087072,-3.663018,4.4557056
shomresh,6.5650277,-3.193617,-2.121943
robindronath,-2.0921783,12.642507,8.448323
shorotchandra,-4.637726,13.190469,9.101817
humayun_ahmed,9.938126,11.655187,0.7443223
bongkim,-2.237731,14.64125,-1.3366611
shirshendu,-4.420157,-0.106451966,8.185904
shordindu,-4.4758472,8.838398,1.7132113
shunil_gongopaddhay,2.635846,-2.9938018,14.084759
shirshendu,-4.681293,-0.72498083,8.2101345
toslima_nasrin,9.11717,-3.8903327,3.961894
shorotchandra,-4.592594,12.57993,8.56719
toslima_nasrin,9.1684265,-3.5469825,4.6662326
tarashonkor,-2.6643403,8.424653,5.2402396
robindronath,-2.2752733,12.669517,8.275202
humayun_ahmed,10.144057,11.282949,0.20439391
nihar_ronjon_gupta,-0.8342168,-4.3575525,3.5094788
robindronath,-2.8580296,11.9035425,7.8749967
humayun_ahmed,9.503176,11.350543,0.32976758
bongkim,-2.4196806,14.86037,-1.4851985
robindronath,-2.8821952,12.230605,7.9739127
shorotchandra,-4.6286054,14.237161,7.812453
shunil_gongopaddhay,2.6475482,-2.8584661,12.671075
humayun_ahmed,10.920089,12.252456,1.9027455
shirshendu,-4.6586795,-0.9511055,8.323025
shottojit_roy,-3.7616537,-0.98985213,-4.134055
toslima_nasrin,9.027503,-4.066544,3.79926
shunil_gongopaddhay,2.9355476,-2.609441,14.110193
tarashonkor,-2.4771218,8.565138,5.3108244
shomresh,6.5997396,-2.9477956,-2.1191623
shordindu,-4.21664,9.6553955,2.7789617
bongkim,-2.170099,14.6184,-1.3566384
humayun_ahmed,9.960279,11.632005,0.30172482
toslima_nasrin,9.141673,-3.6206512,4.229603
nihar_ronjon_gupta,-0.855348,-4.3993783,3.585503
humayun_ahmed,10.143538,11.527467,0.8086561
shomresh,6.372175,-3.1115108,-2.2929718
robindronath,-2.7700858,11.920421,7.9441605
shorotchandra,-4.2979617,12.799755,8.784597
shomresh,6.2926474,-2.9601169,-2.70451
robindronath,-2.2329946,12.837541,8.317394
MZI,11.56719,4.433439,9.85824
humayun_ahmed,9.65052,11.405977,0.8579309
shomresh,6.3519573,-3.038619,-2.5770466
humayun_ahmed,9.75207,11.465233,1.0814754
tarashonkor,-0.7644348,5.5267315,6.24875
shottojit_roy,-3.8833942,-1.0397124,-3.3726432
shorotchandra,-4.3101354,12.907961,8.630226
humayun_ahmed,10.121038,12.181975,-0.032443132
shunil_gongopaddhay,3.184728,-3.0297403,11.742668
humayun_ahmed,10.829394,12.309871,1.9730237
shottojit_roy,-3.8451328,-0.9706714,-3.9723394
humayun_ahmed,10.023973,12.092651,0.039988324
shirshendu,-4.962148,-0.44915944,8.081966
shunil_gongopaddhay,2.5943928,-2.9592047,12.533651
toslima_nasrin,9.043877,-4.0057096,3.8947768
humayun_ahmed,9.525045,11.871954,0.20058376
shunil_gongopaddhay,3.035072,-2.6609838,13.338163
shomresh,6.4963913,-3.2120242,-2.0813982
shirshendu,-4.623489,-0.7343632,8.163567
nazrul,-2.3418343,9.264036,6.053425
MZI,11.032118,4.158422,8.897864
humayun_ahmed,11.10256,12.000377,1.071374
robindronath,-2.2892096,12.715818,8.222818
shottojit_roy,-3.8380392,-1.021307,-3.3746932
shomresh,6.0659685,-2.5671036,-2.6595347
humayun_ahmed,9.606576,12.2454,1.8420198
shordindu,-4.299625,9.560072,2.6478503
humayun_ahmed,10.002622,11.147702,0.744342
shorotchandra,-4.4722514,14.26301,7.6499314
humayun_ahmed,10.000039,10.965326,0.10883727
toslima_nasrin,9.003643,-3.7759094,4.280501
humayun_ahmed,9.788774,11.872379,-0.08371716
robindronath,-2.7485752,11.689462,7.8236566
MZI,11.9291525,4.694111,9.394888
humayun_ahmed,9.090537,12.00001,1.7283401
shottojit_roy,-3.5946271,-0.9442732,-3.799852
shunil_gongopaddhay,2.5941575,-2.9085302,12.474361
shomresh,5.8583283,-2.3475194,-2.3091848
shorotchandra,-4.727853,12.851325,8.7337265
humayun_ahmed,9.667584,11.638808,0.85492104
shomresh,6.3163986,-3.16939,-2.0167778
manik_bandhopaddhay,-0.31939662,3.8112812,6.7506185
shottojit_roy,-3.768602,-1.0450624,-4.0845547
MZI,11.362666,4.538365,10.22335
shomresh,5.7246866,-3.5203373,-2.8985772
shorotchandra,-4.453163,12.911284,8.756521
shunil_gongopaddhay,2.6419797,-2.9913695,14.099232
robindronath,-2.826723,12.065512,8.009632
bongkim,-2.085412,14.512589,-1.316513
tarashonkor,-0.4358135,8.046817,4.3093996
shunil_gongopaddhay,2.835765,-2.7474189,14.192646
shottojit_roy,-4.2221847,-1.0244172,-3.6331959
shomresh,6.556351,-3.3376656,-1.9889984
MZI,11.461626,4.2416883,9.429693
shottojit_roy,-3.4631474,-0.8533953,-3.9210148
robindronath,-2.9073422,12.226606,8.120849
shordindu,-4.668394,8.887862,1.5087854
robindronath,-2.2402666,12.706309,8.41607
toslima_nasrin,8.863357,0.36030328,6.197381
humayun_ahmed,10.10733,12.450158,2.06657
humayun_ahmed,11.599953,11.6842,1.0747548
humayun_ahmed,9.841004,11.853974,0.26414925
shirshendu,-5.0098367,-1.1488336,8.184401
MZI,12.0341,4.321943,9.449208
humayun_ahmed,10.144966,12.5774355,2.138938
shottojit_roy,-3.973202,-1.1115278,-4.110685
shirshendu,-4.438459,-0.10481478,8.208982
shordindu,-4.670934,9.006785,1.3689591
nihar_ronjon_gupta,-0.8721162,-4.4198256,3.567039
robindronath,-2.413469,12.630364,8.368007
shorotchandra,-4.4522657,12.926039,8.570539
toslima_nasrin,9.381917,0.3417876,6.693453
shorotchandra,-4.997919,13.336454,8.653064
MZI,11.557428,4.682517,10.081278
shordindu,-4.733028,8.973373,2.1695328
tarashonkor,-2.4421697,8.610189,5.196883
shorotchandra,-4.4355607,14.227559,7.679815
humayun_ahmed,9.508788,11.7058525,0.8791357
shorotchandra,-4.3573513,12.876225,8.851636
shunil_gongopaddhay,2.9833064,-3.2021773,11.680871
bongkim,-2.2175815,14.8346405,-1.575375
shomresh,6.2903996,-3.4617512,-2.2007253
shorotchandra,-4.3848176,12.914735,8.989696
zahir_rayhan,2.7618432,4.1802077,-1.7693458
humayun_ahmed,11.195862,11.480855,0.9957743
shirshendu,-4.7764444,-0.7417543,8.622791
shomresh,6.336907,-2.9565501,-2.7247891
shottojit_roy,-3.3950808,-0.8272248,-3.618548
shorotchandra,-4.6136975,13.181453,9.1320095
shordindu,-4.723454,8.892713,1.5688537
robindronath,-2.314553,12.411998,8.103148
shorotchandra,-4.859463,12.573916,8.588473
toslima_nasrin,9.021931,-3.9209223,3.961117
shomresh,5.890131,-3.543588,-2.6650836
MZI,11.476892,4.372506,10.007333
shirshendu,-4.74039,-0.3168364,7.9324203
shottojit_roy,-4.152119,-1.1468121,-3.8352911
shomresh,5.907261,-2.4458363,-2.435878
bongkim,-2.3094869,14.595327,-1.2514995
nihar_ronjon_gupta,-0.8325228,-4.0993357,3.7672656
MZI,11.85553,4.3472047,9.646569
robindronath,-2.6242976,11.962214,7.8022623
shirshendu,-4.824276,-0.8355411,8.16552
toslima_nasrin,9.393794,0.38609397,6.650867
humayun_ahmed,10.6016,11.0674,1.459726
shottojit_roy,-3.2731817,-0.71478593,-2.9230602
shunil_gongopaddhay,2.6768842,-2.7350645,12.75603
shordindu,-4.6970816,9.002356,2.053556
MZI,12.321767,4.777842,9.76393
manik_bandhopaddhay,-0.8849473,4.12977,6.84872
shunil_gongopaddhay,2.6330476,-3.0186765,14.043687
humayun_ahmed,11.613235,11.777279,1.0671262
bongkim,-2.445903,14.887696,-1.4842542
MZI,11.952068,4.5342197,9.414622
shomresh,6.683587,-2.9407458,-2.0363612
nihar_ronjon_gupta,-0.95779085,-4.547772,3.64916
humayun_ahmed,10.042245,11.027308,0.46215275
shunil_gongopaddhay,2.7060494,-2.8568294,12.664085
shorotchandra,-4.495744,14.308225,7.6517944
humayun_ahmed,10.11167,12.427415,2.095169
tarashonkor,-2.2951748,8.724533,5.069265
shunil_gongopaddhay,2.4302797,-3.464494,11.832766
robindronath,-2.0955944,10.324358,7.02546
shottojit_roy,-4.1537266,-1.2609463,-3.6183243
shunil_gongopaddhay,2.775919,-2.8482275,12.431711
shunil_gongopaddhay,3.338738,-2.9596124,11.811746
shordindu,-4.700045,9.09697,2.1449604
shunil_gongopaddhay,2.7775323,-3.1703656,11.657623
bongkim,-2.0394475,14.621204,-1.4716959
shunil_gongopaddhay,2.6641095,-2.5432813,12.122568
humayun_ahmed,10.145033,11.7828665,0.077554435
manik_bandhopaddhay,-0.47920462,4.3993692,6.7704506
shunil_gongopaddhay,2.5847714,-2.9121943,14.05032
MZI,12.098093,4.33788,9.558412
shunil_gongopaddhay,3.066573,-2.6026723,13.457334
humayun_ahmed,9.30977,11.906822,0.8792702
shirshendu,-4.8700986,-0.87945056,8.605366
toslima_nasrin,9.144881,-3.8750815,3.948442
MZI,10.94478,4.110368,8.828011
tarashonkor,-0.39391127,8.082884,4.2713633
robindronath,-2.5473206,12.214129,7.9420867
bongkim,-2.074481,14.617849,-1.4044576
shordindu,-4.4370766,9.14341,1.9451395
bongkim,-1.9792098,14.640055,-1.4930003
shomresh,6.4005623,-3.319696,-2.0385902
shorotchandra,-4.434689,14.254045,7.622678
humayun_ahmed,10.144681,12.331371,1.80507
humayun_ahmed,10.009219,11.907138,0.12978248
shorotchandra,-4.9724975,13.692572,8.722331
shirshendu,-4.8624306,-0.61731637,8.205996
humayun_ahmed,10.537726,11.106005,0.9370867
humayun_ahmed,9.75074,12.169475,0.7343681
shomresh,6.5425205,-3.2107477,-2.2126455
MZI,12.142272,4.2852116,9.300178
shordindu,-4.7652435,9.0006695,1.4386697
shottojit_roy,-4.225986,-1.1927041,-3.730759
shorotchandra,-4.5552516,14.243671,7.744513
bongkim,-2.0596588,14.643242,-1.4579482
shunil_gongopaddhay,-4.170035,9.578559,2.7965841
humayun_ahmed,11.497919,11.664976,0.95231545
humayun_ahmed,10.204139,11.06503,0.10473021
MZI,12.139337,4.2577367,9.490954
shorotchandra,-4.332833,13.148379,8.667657
humayun_ahmed,9.914261,12.198679,0.9325157
shomresh,6.346807,-3.1899142,-2.4842715
humayun_ahmed,9.785436,11.915744,0.04814802
bongkim,-2.280055,14.83486,-1.5072974
toslima_nasrin,9.160082,-3.5314996,4.6925497
robindronath,-2.6919942,11.9577675,7.7456937
shunil_gongopaddhay,2.6613035,-2.741468,12.70401
shomresh,6.5810595,-2.9335427,-1.9993777
humayun_ahmed,10.289756,12.06712,0.768697
robindronath,-2.671146,12.0211735,7.76988
humayun_ahmed,10.053124,12.244545,0.40657276
shorotchandra,-4.589287,13.177093,8.319352
nazrul,-1.9907027,9.663097,6.612925
humayun_ahmed,10.006338,11.911198,-0.16646867
tarashonkor,-2.1007013,8.811072,5.1110263
humayun_ahmed,9.639629,11.166511,0.04953833
shomresh,6.42987,-3.3340206,-2.106068
humayun_ahmed,10.240139,10.998769,0.5621458
nihar_ronjon_gupta,-0.73789555,-4.156573,3.5781014
humayun_ahmed,9.64062,11.840608,0.051544733
toslima_nasrin,9.146816,-3.9388525,3.888858
manik_bandhopaddhay,-0.8122553,4.117744,6.941033
humayun_ahmed,9.767298,12.326741,0.0815931
bongkim,-1.9619534,14.428012,-1.3108526
humayun_ahmed,-2.3961666,8.627319,5.189759
shunil_gongopaddhay,2.5639474,-3.1321428,12.188809
humayun_ahmed,9.634569,11.907485,-0.12822933
humayun_ahmed,9.430569,11.828795,0.22117747
shorotchandra,-4.4747076,14.234392,7.6727276
shomresh,6.6848235,-2.7794065,-2.231099
shunil_gongopaddhay,2.509932,-3.1717057,11.994833
shunil_gongopaddhay,2.65987,-2.7112546,12.888616
tarashonkor,-2.5296006,8.441171,5.4319787
shomresh,6.5917354,-3.1706326,-2.1024513
nazrul,-1.9816773,9.625627,6.581836
robindronath,-2.1893632,12.703081,8.405997
humayun_ahmed,9.5478525,12.374939,0.5576044
bongkim,-2.4582539,14.884168,-1.4708681
shottojit_roy,-3.3239534,-0.74470806,-2.9692874
humayun_ahmed,9.52097,11.23426,0.095851414
nihar_ronjon_gupta,-0.8833951,-4.4249177,3.5592344
shomresh,6.7155805,-2.8722312,-2.2327201
bongkim,-1.967843,14.623807,-1.4835274
humayun_ahmed,9.75589,12.105696,0.35525915
robindronath,-2.8347797,11.999062,7.972725
shorotchandra,-4.4281054,13.051358,8.774499
shunil_gongopaddhay,2.5899265,-2.6589293,12.2741
toslima_nasrin,8.834945,0.36299103,6.1667724
shomresh,6.338138,-3.1863785,-2.298155
humayun_ahmed,9.144525,11.950423,1.2160302
shorotchandra,-4.580387,12.851672,8.638384
tarashonkor,-2.5982914,8.408938,5.30439
shirshendu,-4.6440325,-1.0284619,8.225422
shorotchandra,-4.937174,12.523746,8.492422
MZI,11.727568,4.2343464,9.429993
humayun_ahmed,9.647222,12.044701,0.68840617
robindronath,-2.617689,11.814974,8.006943
humayun_ahmed,11.6613035,11.74627,0.9838588
humayun_ahmed,9.764306,11.249742,0.25883907
robindronath,-2.0569324,10.300745,6.983547
humayun_ahmed,10.138585,12.451691,2.1043448
humayun_ahmed,10.225979,12.233474,0.8052094
bongkim,-2.094954,14.765683,-1.5655123
manik_bandhopaddhay,-0.61714256,4.351943,6.7846823
MZI,11.577944,4.311138,10.109723
toslima_nasrin,9.096684,-4.0349693,3.815687
humayun_ahmed,11.009178,11.713091,0.76355684
robindronath,-2.0527763,10.284251,6.975263
shirshendu,-4.8469715,-0.5535831,8.1435
shottojit_roy,-3.859135,-1.0105364,-4.103035
shomresh,6.2434816,-3.1329274,-1.8151112
nazrul,-2.3350701,9.156711,5.9655094
humayun_ahmed,9.65648,11.649983,0.01195285
shunil_gongopaddhay,3.1208878,-3.0697067,11.782816
zahir_rayhan,2.2137136,3.8298326,-1.5173221
robindronath,-2.5758603,12.5563545,8.329555
humayun_ahmed,9.735269,11.929297,0.8201254
shomresh,6.4383144,-2.9861133,-2.4807408
humayun_ahmed,9.830567,12.292565,0.1039902
shorotchandra,-4.4893584,14.281123,7.6488156
humayun_ahmed,10.161918,11.451201,-0.21601528
toslima_nasrin,9.17622,-3.541869,4.7159405
shorotchandra,-4.34352,12.907634,9.026286
humayun_ahmed,9.565912,11.613093,0.73722667
shunil_gongopaddhay,2.349323,-3.3677232,11.933681
tarashonkor,-2.4629724,8.562314,5.198177
humayun_ahmed,9.321616,12.154836,1.8246301
shottojit_roy,-3.3464756,-0.7789041,-3.5874145
shunil_gongopaddhay,3.0672178,-2.6237986,13.338044
shomresh,5.7452703,-3.5511472,-2.914435
shunil_gongopaddhay,2.6271381,-2.9720297,12.313197
humayun_ahmed,9.174067,11.933584,1.7778951
shomresh,6.526077,-3.1787767,-2.032915
shirshendu,-5.0375266,-0.9813891,8.40632
MZI,11.943337,4.2481265,9.263643
humayun_ahmed,10.08118,12.198779,-0.036905784
shottojit_roy,-3.8351977,-0.95353967,-4.0502586
humayun_ahmed,9.932181,11.659579,-0.24023892
toslima_nasrin,9.142585,-3.5189633,4.705492
shordindu,-4.3794694,9.383934,2.159317
shomresh,6.8123226,-2.8072433,-2.0581713
shunil_gongopaddhay,2.7351925,-2.8813963,12.414796
humayun_ahmed,9.533806,11.181401,0.70464045
